GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Owner Occupier with Mortgage (Households),Owner Occupier No Mortgage (Households),Private Rented,Social Rented,Rented Free of Rent (Households),Total (Households),% Owner Occupier with Mortgage (Households),% Owner Occupier No Mortgage (Households),% Private Rented,% Social Rented,% Rented Free of Rent (Households),% Total (Households)
N00000001,18489,Aldergrove,95AA01,Antrim,NI,21,5,270,9,5,310,6.8,1.6,87.1,2.9,1.6,100
N00000002,18490,Aldergrove,95AA01,Antrim,NI,70,43,15,8,5,141,49.6,30.5,10.6,5.7,3.5,100
N00000003,18491,Aldergrove,95AA01,Antrim,NI,32,39,5,0,2,78,41,50,6.4,0,2.6,100
N00000004,18492,Aldergrove,95AA01,Antrim,NI,95,72,18,4,6,195,48.7,36.9,9.2,2.1,3.1,100
N00000005,18493,Aldergrove,95AA01,Antrim,NI,75,38,10,0,1,124,60.5,30.6,8.1,0,0.8,100
N00000006,18494,Aldergrove,95AA01,Antrim,NI,38,38,10,0,0,86,44.2,44.2,11.6,0,0,100
N00000007,18495,Aldergrove,95AA01,Antrim,NI,26,43,13,1,6,89,29.2,48.3,14.6,1.1,6.7,100
N00000008,18496,Aldergrove,95AA01,Antrim,NI,61,36,34,2,4,138,44.2,26.1,24.6,1.4,2.9,100
N00000009,18497,Aldergrove,95AA01,Antrim,NI,145,83,42,1,4,275,52.7,30.2,15.3,0.4,1.5,100
N00000010,18498,Aldergrove,95AA01,Antrim,NI,21,53,10,0,2,86,24.4,61.6,11.6,0,2.3,100
N00000011,18499,Balloo,95AA02,Antrim,NI,38,47,19,23,7,136,27.9,34.6,14,16.9,5.1,100
N00000012,18500,Balloo,95AA02,Antrim,NI,41,49,14,14,2,121,33.9,40.5,11.6,11.6,1.7,100
N00000013,18501,Balloo,95AA02,Antrim,NI,30,50,40,9,6,136,22.1,36.8,29.4,6.6,4.4,100
N00000014,18502,Balloo,95AA02,Antrim,NI,83,42,46,29,5,205,40.5,20.5,22.4,14.1,2.4,100
N00000015,18503,Balloo,95AA02,Antrim,NI,22,36,16,42,2,119,18.5,30.3,13.4,35.3,1.7,100
N00000016,18504,Balloo,95AA02,Antrim,NI,31,29,27,31,4,122,25.4,23.8,22.1,25.4,3.3,100
N00000017,18505,Ballycraigy,95AA03,Antrim,NI,52,27,12,48,3,144,36.1,18.8,8.3,33.3,2.1,100
N00000018,18506,Ballycraigy,95AA03,Antrim,NI,49,25,19,1,0,94,52.1,26.6,20.2,1.1,0,100
N00000019,18507,Ballycraigy,95AA03,Antrim,NI,33,36,18,28,1,116,28.4,31,15.5,24.1,0.9,100
N00000020,18508,Ballycraigy,95AA03,Antrim,NI,21,21,14,62,3,122,17.2,17.2,11.5,50.8,2.5,100
N00000021,18509,Ballycraigy,95AA03,Antrim,NI,41,31,28,23,2,128,32,24.2,21.9,18,1.6,100
N00000022,18510,Ballycraigy,95AA03,Antrim,NI,40,33,19,30,3,126,31.7,26.2,15.1,23.8,2.4,100
N00000023,18511,Ballycraigy,95AA03,Antrim,NI,27,33,11,41,3,115,23.5,28.7,9.6,35.7,2.6,100
N00000024,18512,Clady,95AA04,Antrim,NI,87,71,9,1,5,174,50,40.8,5.2,0.6,2.9,100
N00000025,18513,Clady,95AA04,Antrim,NI,67,80,6,1,5,159,42.1,50.3,3.8,0.6,3.1,100
N00000026,18514,Clady,95AA04,Antrim,NI,57,82,6,2,4,151,37.7,54.3,4,1.3,2.6,100
N00000027,18515,Clady,95AA04,Antrim,NI,79,72,21,0,3,178,44.4,40.4,11.8,0,1.7,100
N00000028,18516,Clady,95AA04,Antrim,NI,52,27,5,0,0,85,61.2,31.8,5.9,0,0,100
N00000029,18517,Clady,95AA04,Antrim,NI,49,76,6,1,4,136,36,55.9,4.4,0.7,2.9,100
N00000030,18518,Clady,95AA04,Antrim,NI,48,72,8,0,3,131,36.6,55,6.1,0,2.3,100
N00000031,18519,Cranfield,95AA05,Antrim,NI,86,92,15,4,2,201,42.8,45.8,7.5,2,1,100
N00000032,18520,Cranfield,95AA05,Antrim,NI,53,64,11,0,4,133,39.8,48.1,8.3,0,3,100
N00000033,18521,Cranfield,95AA05,Antrim,NI,72,73,13,1,7,166,43.4,44,7.8,0.6,4.2,100
N00000034,18522,Cranfield,95AA05,Antrim,NI,75,57,16,5,5,158,47.5,36.1,10.1,3.2,3.2,100
N00000035,18523,Cranfield,95AA05,Antrim,NI,34,30,21,39,4,128,26.6,23.4,16.4,30.5,3.1,100
N00000036,18524,Cranfield,95AA05,Antrim,NI,50,41,22,19,2,134,37.3,30.6,16.4,14.2,1.5,100
N00000037,18525,Crumlin,95AA06,Antrim,NI,59,50,7,4,2,124,47.6,40.3,5.6,3.2,1.6,100
N00000038,18526,Crumlin,95AA06,Antrim,NI,65,48,17,5,3,138,47.1,34.8,12.3,3.6,2.2,100
N00000039,18527,Crumlin,95AA06,Antrim,NI,238,82,47,65,8,448,53.1,18.3,10.5,14.5,1.8,100
N00000040,18528,Crumlin,95AA06,Antrim,NI,46,15,11,31,10,114,40.4,13.2,9.6,27.2,8.8,100
N00000041,18529,Crumlin,95AA06,Antrim,NI,101,20,16,3,2,144,70.1,13.9,11.1,2.1,1.4,100
N00000042,18530,Crumlin,95AA06,Antrim,NI,84,32,8,1,1,126,66.7,25.4,6.3,0.8,0.8,100
N00000043,18531,Crumlin,95AA06,Antrim,NI,229,65,34,34,3,368,62.2,17.7,9.2,9.2,0.8,100
N00000044,18532,Crumlin,95AA06,Antrim,NI,53,25,9,16,2,108,49.1,23.1,8.3,14.8,1.9,100
N00000045,18533,Drumanaway,95AA07,Antrim,NI,78,73,13,2,4,170,45.9,42.9,7.6,1.2,2.4,100
